date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:10	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%227f07008fc0d6ca6f0d3b51b7b07b8594%22	http://www.meitalav.co.il/robots.txt		(from )
10:16:11	106146/106146	---MCZ	200	added ('OK')	text/html	etag:W/%22d341cd25414bdc87b80235a9e337240a%22	http://www.meitalav.co.il/	C:/My%20Web%20Sites/MeitalAfterFix/www.meitalav.co.il/index.html	(from )
10:16:11	83/83	---M--	200	added ('OK')	text/css	etag:%22f25dac12a417d11:0%22	http://global.webydo.com/v8/base.css	C:/My%20Web%20Sites/MeitalAfterFix/global.webydo.com/v8/base.css	(from http://www.meitalav.co.il/)
10:16:12	72184/72184	---MCZ	200	added ('OK')	text/css	etag:W/%229c538e3c1a960d5c9ec8f7f020a9fd84%22	http://www.meitalav.co.il/IP_Master_PT_RTL.master.css?v=5295001125	C:/My%20Web%20Sites/MeitalAfterFix/www.meitalav.co.il/IP_Master_PT_RTL.masterae57.css	(from http://www.meitalav.co.il/)
10:16:13	45069/45069	---MCZ	200	added ('OK')	text/css	etag:W/%22259fa081128a8ea65438a29661465e9c%22	http://www.meitalav.co.il/home-1.css?v=5295001125	C:/My%20Web%20Sites/MeitalAfterFix/www.meitalav.co.il/home-1ae57.css	(from http://www.meitalav.co.il/)
10:16:13	3025/3025	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d61e5ffdc13cd11:0%22	http://global.webydo.com/v8/WidgetsGallery/utils.js?v=5295001125	C:/My%20Web%20Sites/MeitalAfterFix/global.webydo.com/v8/WidgetsGallery/utilsae57.js	(from http://www.meitalav.co.il/)
10:16:14	1123/1123	---M--	200	added ('OK')	image/png	etag:%2255a273e9-463%22	http://images7.webydo.com/-1/GalleryFullWidth/arrow_left.png	C:/My%20Web%20Sites/MeitalAfterFix/images7.webydo.com/-1/GalleryFullWidth/arrow_left.png	(from http://www.meitalav.co.il/)
10:16:15	119762/119762	---MCZ	200	added ('OK')	text/html	etag:W/%229e96148fdffe8670c5abc3b2f2632b7b%22	http://www.meitalav.co.il/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%a0%d7%a9%d7%99%d7%9e%d7%94.html	C:/My%20Web%20Sites/MeitalAfterFix/www.meitalav.co.il/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%a0%d7%a9%d7%99%d7%9e%d7%94.html	(from http://www.meitalav.co.il/)
10:16:16	120260/120260	---MCZ	200	added ('OK')	text/html	etag:W/%221ed6c7b6a524549be3f47adff1b22dc1%22	http://www.meitalav.co.il/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%a2%d7%95%d7%a8.html	C:/My%20Web%20Sites/MeitalAfterFix/www.meitalav.co.il/%d7%9e%d7%a2%d7%a8%d7%9b%d7%aa-%d7%94%d7%a2%d7%95%d7%a8.html	(from http://www.meitalav.co.il/)
10:16:16	94840/94840	---M-Z	200	added ('OK')	application/javascript	etag:%2254499a47-17278%22	http://code.jquery.com/jquery-1.7.2.min.js	C:/My%20Web%20Sites/MeitalAfterFix/code.jquery.com/jquery-1.7.2.min.js	(from http://www.meitalav.co.il/)
